Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Reggie Lewis,,9.1,8.3,7.5,6.9,6.7,0.4
Jim Paxson,91.3,10.2,9.5,7.7,7.5,6.5,0.3
Phil Chenier,90.0,8.8,8.8,7.4,5.8,5.5,1.4
Jason Terry,90.0,8.6,8.5,7.4,6.5,5.1,1.9
Derek Harper,89.3,9.4,9.1,8,6.2,5.4,1.3
Earl Monroe,89.3,9.3,8.8,8.3,7.8,7.1,2.5
Klay Thompson,88.6,8.8,8,7.1,6.7,4.3,1.7
Freddie Lewis,88.1,7.6,7.5,7.2,6.2,6,0
Kerry Kittles,88.0,8.4,7.7,7.7,6.9,4.7,1.8
Bob Cousy,87.1,8.1,7.8,7.7,7.2,6.8,3.9
World B. Free,87.0,10.1,8,7.4,6,4.6,1.5
