Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Karl-Anthony Towns,,14,12.7,10.4,8.3
Bill Russell,93.0,13.8,12.9,11.3,6.2
Shaquille O'Neal,87.9,16.9,14,10.4,6.9
Wes Unseld,87.4,11.1,10.8,10,8.3
Nikola Jokić,84.6,11.8,10.7,9.7,6.7
Hakeem Olajuwon,84.4,10.9,10.7,10.2,9.5
Yao Ming,84.1,11.4,10.7,8.7,8.6
Dwight Howard,83.6,12.9,9.7,8.6,7.3
Dan Issel,83.5,15.8,13.8,13.5,10.7
Dave Cowens,82.6,12,10.4,9.3,6.4
Bob Lanier,82.5,14.4,10.6,8.4,5.2
