Season,Team,Lg,Salary
1994-95,Washington Bullets,NBA,"$1,309,000"
1995-96,Washington Bullets,NBA,"$1,702,000"
1996-97,Washington Bullets,NBA,"$9,750,000"
1997-98,Washington Wizards,NBA,"$11,250,000"
1998-99,Washington Wizards,NBA,"$13,125,000"
1999-00,Washington Wizards,NBA,"$15,000,000"
2000-01,Washington Wizards,NBA,"$16,875,000"
2001-02,Dallas Mavericks,NBA,"$18,750,000"
2002-03,Denver Nuggets,NBA,"$20,625,000"
2003-04,Orlando Magic,NBA,"$4,917,000"
2004-05,Houston Rockets,NBA,"$5,408,700"
2005-06,Houston Rockets,NBA,"$5,900,400"
2006-07,Houston Rockets,NBA,"$6,392,100"
2007-08,Minnesota Timberwolves,NBA,"$6,883,800"
2007-08,Dallas Mavericks,NBA,"$1,211,197"
2008-09,Minnesota Timberwolves,NBA,"$7,375,500"
2008-09,Charlotte Bobcats,NBA,"$928,143"
2008-09,Denver Nuggets,NBA,"$51,976"
2009-10,Portland Trail Blazers,NBA,"$1,306,455"
2010-11,Miami Heat,NBA,"$1,352,181"
2011-12,Miami Heat,NBA,"$1,352,181"
Career,(may be incomplete),,"$151,465,633"
