Season,Team,Lg,Salary
1985-86,Utah Jazz,NBA,"$225,000"
1987-88,Utah Jazz,NBA,"$835,000"
1988-89,Utah Jazz,NBA,"$1,350,000"
1989-90,Utah Jazz,NBA,"$1,800,000"
1990-91,Utah Jazz,NBA,"$2,260,000"
1991-92,Utah Jazz,NBA,"$2,556,000"
1992-93,Utah Jazz,NBA,"$2,854,000"
1993-94,Utah Jazz,NBA,"$3,081,000"
1994-95,Utah Jazz,NBA,"$3,378,800"
1995-96,Utah Jazz,NBA,"$3,676,000"
1996-97,Utah Jazz,NBA,"$4,657,000"
1997-98,Utah Jazz,NBA,"$5,118,578"
1998-99,Utah Jazz,NBA,"$6,142,000"
1999-00,Utah Jazz,NBA,"$14,000,000"
2000-01,Utah Jazz,NBA,"$15,750,000"
2001-02,Utah Jazz,NBA,"$17,500,000"
2002-03,Utah Jazz,NBA,"$19,250,000"
2003-04,Los Angeles Lakers,NBA,"$1,500,000"
Career,(may be incomplete),,"$105,933,378"
