Season,Team,Lg,Salary
1992-93,Houston Rockets,NBA,"$997,000"
1993-94,Houston Rockets,NBA,"$1,200,000"
1994-95,Houston Rockets,NBA,"$1,499,000"
1995-96,Houston Rockets,NBA,"$1,601,000"
1996-97,Phoenix Suns,NBA,"$1,703,000"
1997-98,Los Angeles Lakers,NBA,"$6,000,000"
1998-99,Los Angeles Lakers,NBA,"$5,000,000"
1999-00,Los Angeles Lakers,NBA,"$4,800,000"
2000-01,Los Angeles Lakers,NBA,"$4,800,000"
2001-02,Los Angeles Lakers,NBA,"$5,300,000"
2002-03,Los Angeles Lakers,NBA,"$5,300,000"
2003-04,San Antonio Spurs,NBA,"$4,500,000"
2004-05,San Antonio Spurs,NBA,"$1,100,000"
2005-06,San Antonio Spurs,NBA,"$3,000,000"
2006-07,San Antonio Spurs,NBA,"$3,315,000"
2007-08,San Antonio Spurs,NBA,"$3,630,000"
Career,(may be incomplete),,"$53,745,000"
