Season,Team,Lg,Salary
1997-98,San Antonio Spurs,NBA,"$2,967,840"
1998-99,San Antonio Spurs,NBA,"$3,413,000"
1999-00,San Antonio Spurs,NBA,"$3,858,240"
2000-01,San Antonio Spurs,NBA,"$9,660,000"
2001-02,San Antonio Spurs,NBA,"$10,865,250"
2002-03,San Antonio Spurs,NBA,"$12,072,500"
2003-04,San Antonio Spurs,NBA,"$12,676,125"
2004-05,San Antonio Spurs,NBA,"$14,260,641"
2005-06,San Antonio Spurs,NBA,"$15,845,156"
2006-07,San Antonio Spurs,NBA,"$17,429,672"
2007-08,San Antonio Spurs,NBA,"$19,014,188"
2008-09,San Antonio Spurs,NBA,"$20,598,704"
2009-10,San Antonio Spurs,NBA,"$22,183,220"
2010-11,San Antonio Spurs,NBA,"$18,700,000"
2011-12,San Antonio Spurs,NBA,"$21,164,619"
2012-13,San Antonio Spurs,NBA,"$9,638,554"
2013-14,San Antonio Spurs,NBA,"$10,361,446"
2014-15,San Antonio Spurs,NBA,"$10,000,000"
2015-16,San Antonio Spurs,NBA,"$5,000,000"
2016-17,San Antonio Spurs,NBA,"$1,881,250"
2017-18,San Antonio Spurs,NBA,"$1,881,250"
2018-19,San Antonio Spurs,NBA,"$1,881,250"
Career,(may be incomplete),,"$245,352,905"
